lga_code,volunteer_rating_percentage,lga_name
20110,31.4,Alpine (S)
20260,30.5,Ararat (RC)
20570,22.2,Ballarat (C)
20660,19.3,Banyule (C)
20740,24.7,Bass Coast (S)
20830,25.8,Baw Baw (S)
20910,22.9,Bayside (C)
21010,28.5,Benalla (RC)
21110,25.1,Boroondara (C)
21180,10.1,Brimbank (C)
21270,46.1,Buloke (S)
21370,27.5,Campaspe (S)
21450,18.9,Cardinia (S)
21610,13.3,Casey (C)
21670,25.2,Central Goldfields (S)
21750,26.5,Colac-Otway (S)
21830,32.2,Corangamite (S)
21890,15.7,Darebin (C)
22110,27.6,East Gippsland (S)
22170,15.0,Frankston (C)
22250,35.7,Gannawarra (S)
22310,20.0,Glen Eira (C)
22410,31.1,Glenelg (S)
22490,23.5,Golden Plains (S)
22620,23.3,Greater Bendigo (C)
22670,10.6,Greater Dandenong (C)
22750,20.0,Greater Geelong (C)
22830,21.6,Greater Shepparton (C)
22910,30.2,Hepburn (S)
22980,40.6,Hindmarsh (S)
23110,15.6,Hobsons Bay (C)
23190,32.6,Horsham (RC)
23270,11.1,Hume (C)
23350,33.2,Indigo (S)
23430,16.4,Kingston (C)
23670,17.8,Knox (C)
23810,19.5,Latrobe (C)
23940,37.3,Loddon (S)
24130,25.8,Macedon Ranges (S)
24210,18.6,Manningham (C)
24250,31.8,Mansfield (S)
24330,15.0,Maribyrnong (C)
24410,20.3,Maroondah (C)
24600,21.2,Melbourne (C)
24650,11.5,Melton (C)
24780,22.3,Mildura (RC)
24850,21.0,Mitchell (S)
24900,26.7,Moira (S)
24970,18.2,Monash (C)
25060,16.7,Moonee Valley (C)
25150,21.9,Moorabool (S)
25250,15.7,Moreland (C)
25340,20.2,Mornington Peninsula (S)
25430,33.7,Mount Alexander (S)
25490,33.5,Moyne (S)
25620,31.9,Murrindindi (S)
25710,22.9,Nillumbik (S)
25810,29.9,Northern Grampians (S)
25900,20.2,Port Phillip (C)
25990,31.7,Pyrenees (S)
26080,38.8,Queenscliffe (B)
26170,31.5,South Gippsland (S)
26260,34.3,Southern Grampians (S)
26350,21.7,Stonnington (C)
26430,31.3,Strathbogie (S)
26490,28.6,Surf Coast (S)
26610,28.4,Swan Hill (RC)
26670,40.5,Towong (S)
26700,26.9,Wangaratta (RC)
26730,25.8,Warrnambool (C)
26810,26.4,Wellington (S)
26890,45.0,West Wimmera (S)
26980,22.1,Whitehorse (C)
27070,10.5,Whittlesea (C)
27170,21.8,Wodonga (RC)
27260,13.1,Wyndham (C)
27350,22.4,Yarra (C)
27450,21.4,Yarra Ranges (S)
27630,42.5,Yarriambiack (S)
