ppl_who_help_as_volunteer_perc, id, lga_name, lga_code, ppl_who_are_def_able_to_get_help_from_nbrs_perc, ppl_who_feel_valued_by_society_perc, ppl_who_attended_a_local_cmty_event_perc
31.4,1,"Alpine (S)",20110,66.7,57.5,77.4
30.5,2,"Ararat (RC)",20260,69.7,58.4,78.1
22.2,3,"Ballarat (C)",20570,56.8,56.9,69.1
19.3,4,"Banyule (C)",20660,62.4,52.9,53.1
24.7,5,"Bass Coast (S)",20740,60.9,55.6,74.5
25.8,6,"Baw Baw (S)",20830,64.2,53.6,69.5
22.9,7,"Bayside (C)",20910,61.2,62.3,59.0
28.5,8,"Benalla (RC)",21010,68.5,57.2,75.1
25.1,9,"Boroondara (C)",21110,49.6,58.7,58.3
10.1,10,"Brimbank (C)",21180,46.0,50.8,34.3
46.1,11,"Buloke (S)",21270,71.7,61.8,82.6
27.5,12,"Campaspe (S)",21370,65.7,53.8,76.4
18.9,13,"Cardinia (S)",21450,57.7,54.6,60.8
13.3,14,"Casey (C)",21610,48.9,48.6,45.3
25.2,15,"Central Goldfields (S)",21670,61.4,54.2,66.8
26.5,16,"Colac-Otway (S)",21750,68.1,57.3,80.1
32.2,17,"Corangamite (S)",21830,67.7,54.0,78.5
15.7,18,"Darebin (C)",21890,51.9,50.2,45.3
27.6,19,"East Gippsland (S)",22110,70.7,49.5,75.2
15.0,20,"Frankston (C)",22170,50.8,55.1,55.2
35.7,21,"Gannawarra (S)",22250,75.2,60.9,79.0
20.0,22,"Glen Eira (C)",22310,50.3,57.2,56.7
31.1,23,"Glenelg (S)",22410,69.1,57.6,76.9
23.5,24,"Golden Plains (S)",22490,64.7,58.9,63.9
23.3,25,"Greater Bendigo (C)",22620,57.2,47.8,65.1
10.6,26,"Greater Dandenong (C)",22670,44.6,43.2,33.9
20.0,27,"Greater Geelong (C)",22750,63.5,51.0,59.7
21.6,28,"Greater Shepparton (C)",22830,63.0,55.8,71.4
30.2,29,"Hepburn (S)",22910,58.8,52.9,70.6
40.6,30,"Hindmarsh (S)",22980,72.3,59.2,78.9
15.6,31,"Hobsons Bay (C)",23110,52.3,48.4,50.3
32.6,32,"Horsham (RC)",23190,73.4,63.6,69.9
11.1,33,"Hume (C)",23270,45.0,47.6,42.5
33.2,34,"Indigo (S)",23350,73.5,61.4,78.9
16.4,35,"Kingston (C)",23430,56.9,55.2,55.2
17.8,36,"Knox (C)",23670,49.6,48.1,51.1
19.5,37,"Latrobe (C)",23810,57.6,48.2,64.3
37.3,38,"Loddon (S)",23940,68.7,56.1,72.6
25.8,39,"Macedon Ranges (S)",24130,60.6,55.5,64.1
18.6,40,"Manningham (C)",24210,58.0,56.3,52.7
31.8,41,"Mansfield (S)",24250,67.2,63.1,79.7
15.0,42,"Maribyrnong (C)",24330,43.6,51.7,52.6
20.3,43,"Maroondah (C)",24410,52.7,50.1,51.4
21.2,44,"Melbourne (C)",24600,40.2,59.2,57.7
11.5,45,"Melton (C)",24650,55.8,48.0,47.0
22.3,46,"Mildura (RC)",24780,59.9,47.5,65.2
21.0,47,"Mitchell (S)",24850,62.4,46.5,61.0
26.7,48,"Moira (S)",24900,72.7,53.6,69.5
18.2,49,"Monash (C)",24970,55.9,53.3,44.2
16.7,50,"Moonee Valley (C)",25060,55.0,52.5,51.9
21.9,51,"Moorabool (S)",25150,67.1,56.4,62.6
15.7,52,"Moreland (C)",25250,48.5,54.2,52.6
20.2,53,"Mornington Peninsula (S)",25340,53.0,50.4,68.4
33.7,54,"Mount Alexander (S)",25430,63.2,60.4,80.6
33.5,55,"Moyne (S)",25490,70.5,53.7,78.8
31.9,56,"Murrindindi (S)",25620,69.7,58.2,74.8
22.9,57,"Nillumbik (S)",25710,57.8,66.3,67.5
29.9,58,"Northern Grampians (S)",25810,68.1,59.9,71.7
20.2,59,"Port Phillip (C)",25900,42.2,50.1,64.4
31.7,60,"Pyrenees (S)",25990,68.2,54.0,76.7
38.8,61,"Queenscliffe (B)",26080,69.9,60.8,83.8
31.5,62,"South Gippsland (S)",26170,69.5,56.8,76.5
34.3,63,"Southern Grampians (S)",26260,72.4,59.8,83.1
21.7,64,"Stonnington (C)",26350,46.8,53.7,50.8
31.3,65,"Strathbogie (S)",26430,79.4,57.6,78.5
28.6,66,"Surf Coast (S)",26490,59.7,58.5,81.0
28.4,67,"Swan Hill (RC)",26610,71.2,57.1,73.1
40.5,68,"Towong (S)",26670,77.0,61.8,80.7
26.9,69,"Wangaratta (RC)",26700,67.0,58.3,70.6
25.8,70,"Warrnambool (C)",26730,62.0,59.6,67.9
26.4,71,"Wellington (S)",26810,57.9,50.2,60.1
45.0,72,"West Wimmera (S)",26890,74.0,61.6,84.7
22.1,73,"Whitehorse (C)",26980,57.6,53.0,59.9
10.5,74,"Whittlesea (C)",27070,51.0,53.9,39.7
21.8,75,"Wodonga (RC)",27170,59.4,52.1,65.0
13.1,76,"Wyndham (C)",27260,50.5,48.5,41.6
22.4,77,"Yarra (C)",27350,43.9,61.1,60.2
21.4,78,"Yarra Ranges (S)",27450,60.2,50.5,60.0
42.5,79,"Yarriambiack (S)",27630,72.1,57.7,79.6
